Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed:
Individual customer service information:

Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys
--------  -------    -------  -----  ------  ---------  ---------  ---------  ----------
   1	    0.65       7.70     -1     0        0.65       0.00        8.36       7.70
   2	    1.49      10.95     -1     1        1.49       0.00       12.44      10.95
   3	    4.61       8.79      0     0        8.36       3.75       17.14      12.54
   5	   10.82       5.62      0     0       17.14       6.33       22.76      11.95
   4	    7.11      14.06      0     1       12.44       5.33       26.50      19.39
   6	   12.90       5.21      0     0       22.76       9.86       27.97      15.07
   7	   13.06       2.51      0     1       26.50      13.44       29.01      15.95
   9	   15.90       5.44      0     1       29.01      13.11       34.46      18.56
   10	   16.06       3.26      0     1       34.46      18.40       37.71      21.66
   8	   14.64      12.42      0     0       27.97      13.34       40.39      25.75
   11	   18.20       5.34      0     1       37.71      19.51       43.06      24.86
   12	   19.86      10.74      0     0       40.39      20.53       51.13      31.27
   14	   20.59       0.51      0     0       51.13      30.54       51.64      31.06
   13	   19.91      10.36      0     1       43.06      23.14       53.41      33.50
   15	   21.77      16.89      0     0       51.64      29.87       68.53      46.75
   17	   23.93      23.92      0     1       53.41      29.48       77.34      53.40
   20	   27.31      13.22      0     0       68.53      41.22       81.75      54.44
   21	   30.16      13.78      0     1       77.34      47.18       91.12      60.96
   23	   34.92       5.11      0     1       91.12      56.20       96.23      61.31
   27	   38.67       0.71      0     1       96.23      57.56       96.94      58.27
   22	   32.66      16.43      0     0       81.75      49.09       98.18      65.52
   28	   42.37       7.55      0     1       96.94      54.57      104.49      62.12
   36	   53.10       0.97      0     1      104.49      51.39      105.46      52.36
   37	   53.86      15.09      0     1      105.46      51.60      120.55      66.69
   29	   46.41      32.38      0     0       98.18      51.77      130.56      84.15
   38	   54.29      14.40      0     1      120.55      66.26      134.95      80.66
   49	   77.41       3.79      0     1      134.95      57.54      138.74      61.32
   50	   81.95       2.52      0     1      138.74      56.79      141.25      59.30
   43	   68.65      12.62      0     0      130.56      61.90      143.17      74.52
   52	   92.54       2.87      0     1      141.25      48.72      144.13      51.59
   54	   96.28       7.20      0     0      143.17      46.89      150.37      54.09
   57	   98.77       1.76      0     0      150.37      51.60      152.13      53.36
   58	  105.33       6.72      0     0      152.13      46.80      158.85      53.52
   59	  105.73       3.76      0     0      158.85      53.12      162.60      56.87
   55	   96.95      24.41      0     1      144.13      47.18      168.53      71.58
   70	  131.28       0.35      0     1      168.53      37.25      168.88      37.60
   76	  136.55       7.92      0     1      168.88      32.33      176.80      40.24
   77	  138.90       4.84      0     1      176.80      37.90      181.64      42.74
   67	  122.25      22.51      0     0      162.60      40.35      185.11      62.86
   79	  141.87      11.53      0     1      181.64      39.77      193.17      51.30
   81	  146.22       1.77      0     1      193.17      46.95      194.95      48.73
   80	  145.66      10.21      0     0      185.11      39.46      195.33      49.67
   87	  150.72       4.15      0     1      194.95      44.22      199.10      48.37
   89	  153.08       4.75      0     0      195.33      42.25      200.07      46.99
   91	  160.67       1.29      0     1      199.10      38.42      200.39      39.71
   96	  169.51       4.12      0     1      200.39      30.88      204.51      35.00
   97	  170.00       2.39      0     1      204.51      34.51      206.90      36.89
   105	  179.36       5.52      0     1      206.90      27.54      212.42      33.06
   106	  181.72       1.17      0     1      212.42      30.71      213.59      31.88
   108	  187.00       1.32      0     1      213.59      26.59      214.91      27.91
   93	  163.86      19.51      0     0      200.07      36.21      219.58      55.72
   111	  193.22       6.36      0     1      214.91      21.69      221.27      28.05
   113	  208.42       9.00      0     0      219.58      11.16      228.58      20.16
   115	  209.58       8.12      0     0      228.58      19.00      236.70      27.12
   116	  211.12       6.87      0     0      236.70      25.58      243.57      32.44
   114	  209.52      26.31      0     1      221.27      11.75      247.58      38.05
   117	  211.53      12.74      0     0      243.57      32.03      256.31      44.77
   118	  214.27       9.72      0     1      247.58      33.31      257.30      43.03
   120	  215.54       3.90      0     1      257.30      41.75      261.19      45.65
   121	  215.92       2.08      0     1      261.19      45.27      263.28      47.36
   119	  214.41      10.71      0     0      256.31      41.90      267.01      52.61
   122	  218.67       4.09      0     1      263.28      44.61      267.37      48.70
   124	  225.94       4.59      0     0      267.01      41.07      271.61      45.67
   126	  237.20       5.15      0     0      271.61      34.41      276.76      39.57
   127	  238.03       1.40      0     0      276.76      38.74      278.17      40.14
   133	  245.66       0.53      0     0      278.17      32.51      278.70      33.04
   125	  233.90      16.91      0     1      267.37      33.46      284.28      50.38
   134	  247.66       6.39      0     0      278.70      31.04      285.09      37.43
   142	  258.25       1.87      0     1      284.28      26.03      286.15      27.90
   143	  264.55       5.96      0     0      285.09      20.54      291.06      26.50
   144	  264.97       5.44      0     1      286.15      21.18      291.59      26.62
   146	  269.55       1.89      0     1      291.59      22.04      293.48      23.93
   147	  272.30       5.74      0     1      293.48      21.19      299.22      26.92
   145	  268.96      10.97      0     0      291.06      22.09      302.03      33.06
   149	  278.44       3.91      0     0      302.03      23.59      305.93      27.49
   150	  287.41       4.10      0     0      305.93      18.52      310.03      22.62
   151	  287.83       3.88      0     0      310.03      22.20      313.91      26.08
   148	  273.68      31.72      0     1      299.22      25.53      330.94      57.25
   153	  298.05       0.95      0     1      330.94      32.89      331.88      33.84
